date,open_price,close_price,lowest_price,highest_price,volume,L1_CP_R,CP_HP_R,CP_LP_R,L5_CP_SMA,L5_CP_SMA_R,L10_CP_SMA,L10_CP_SMA_R,L20_CP_SMA,L20_CP_SMA_R,L30_CP_SMA,L30_CP_SMA_R,L5_TV_SMA,L5_TV_SMA_R,L10_TV_SMA,L10_TV_SMA_R,L20_TV_SMA,L20_TV_SMA_R,L30_TV_SMA,L30_TV_SMA_R
2014-04-06,9.21,9.0625,9.0175,9.235,4736716.0,-0.01681583943585563,-0.018678938819707613,0.004990296645411618,9.18,-0.012799564270152497,9.07725,-0.0016249414745654889,9.053999999999998,0.0009388115749946468,9.065499999999998,-0.00033092493519371047,2631171.2,0.8002310149943872,2329849.6,1.0330565543801624,2133875.2,1.2197718029620472,2432611.3333333335,0.9471733667825275
2014-04-07,9.065,9.2175,8.7575,9.2225,2523772.0,0.017103448275862076,-0.0005421523448089216,0.05252640593776747,9.196000000000002,0.0023379730317527603,9.091249999999999,0.01388697923827853,9.06025,0.017356033222041267,9.079333333333334,0.015217710551435282,2503824.0,0.007967013655912014,2383739.6,0.058744839411150496,2207593.4,0.14322320405560185,2410958.6666666665,0.04679189854768695
2014-04-08,9.2225,9.29,9.1975,9.3125,2509944.0,0.007865473284513147,-0.002416107382550381,0.01005708072845879,9.2095,0.008740973994245005,9.13425,0.017051208364123882,9.0705,0.024199327490215472,9.093250000000001,0.021636928490913254,2743848.8,-0.08524697133457204,2397508.8,0.04689667875254533,2257349.2,0.1118988590688581,2223184.933333333,0.12898570081469307
2014-04-09,9.2975,9.19,9.1725,9.345,2275940.0,-0.01076426264800856,-0.016586409844836947,0.001907876805669062,9.1955,-0.0005981186449893761,9.1675,0.002454322334333181,9.08475,0.011585349073997664,9.096583333333333,0.010269423501497732,2927041.6,-0.22244357579338814,2427789.2,-0.06254628696758358,2275937.8,9.66634501331498e-07,2146118.8,0.06049115267989835
2014-04-10,9.115,8.87,8.8625,9.13,1736196.0,-0.03482045701849845,-0.02847754654983592,0.0008462623413256765,9.126,-0.028051720359412724,9.1565,-0.03128924807513789,9.08325,-0.02347727960806989,9.088666666666665,-0.024059267952761587,2756513.6,-0.3701478563356263,2375946.8,-0.2692614161226168,2302487.4,-0.24594766512077326,2095305.8666666667,-0.17138780183819147
2014-04-13,8.92,8.86,8.8088,8.9825,2283612.0,-0.0011273957158962622,-0.01363762872251606,0.00581236944873309,9.0855,-0.024819767761818268,9.132749999999998,-0.029865046125208572,9.0775,-0.023960341503718063,9.082666666666666,-0.02451556077510275,2265892.8,0.007819963945337571,2448532.0,-0.06735464351701348,2360658.4,-0.0326376743030673,2109074.0,0.08275574967971733
2014-04-14,8.8875,8.875,8.7525,8.9075,1049436.0,0.0016930022573364845,-0.0036486107213022922,0.013996001142530856,9.017,-0.015748031496062964,9.1065,-0.025421402295064066,9.06825,-0.021310616712155173,9.07325,-0.02184994351527836,1971025.6,-0.4675685592312957,2237424.8,-0.5309625601718546,2331089.2,-0.549808733187902,2055056.5333333334,-0.4893395957833828
2014-04-15,8.9275,9.02,8.8625,9.0238,1285068.0,0.016338028169013974,-0.00042110862386135484,0.01777150916784187,8.963,0.0063594778533972995,9.08625,-0.007291236758838915,9.066749999999999,-0.005156202608431859,9.067416666666666,-0.005229346837118287,1726050.4,-0.25548639831142816,2234949.6,-0.4250125371954697,2345103.8,-0.4520208444504673,2040402.0,-0.37018881573337015
2014-04-16,9.025,9.1225,9.02,9.1725,1490292.0,0.011363636363636465,-0.0054510765876258915,0.011363636363636465,8.949499999999999,0.019330688865299983,9.0725,0.005511160099201051,9.070625,0.00571901054227264,9.064666666666666,0.0063800838420240424,1568920.8,-0.050116487715632374,2247981.2,-0.3370531746439873,2370330.6,-0.3712725136316428,2010933.2,-0.2589052684594396
2014-04-20,9.1175,9.1025,9.035,9.17,1147304.0,-0.0021923814743767256,-0.007360959651036114,0.007470946319867,8.995999999999999,0.011838594931080637,9.061,0.004580068425118489,9.067375,0.0038737782434274948,9.061250000000001,0.004552352048558195,1451142.4,-0.2093787625528687,2103828.0,-0.45465884093186326,2062040.6,-0.44360746340299995,2010277.7333333334,-0.4292808496179268
